// new entry "Shout_TraceWeapon_New"
// type "SpellData"
// data "SpellType" "Shout"
// data "SpellSchool" "Conjuration"
// data "ContainerSpells" "Shout_TraceWeapon_Melee;Shout_TraceWeapon_Ranged;Shout_TraceWeapon_NoblePhantasm"
// data "TargetConditions" "Self()"
// data "Icon" "Spell_Trace_Reproduction_Icon"
// // Trace Weapon: Reproduction
// data "DisplayName" "h0956611bd7104ed0a931e2c28d4280d7283a;1"
// data "Description" "h160104f49ae24d83a81fb1b13092fc5bag98;6"
// data "ExtraDescription" "h2aad907fgaf0ag4241g880cg4ffea096ec0d"
// data "ExtraDescriptionParams" "LevelMapValue(FakerList)"
// data "TooltipPermanentWarnings" "ff1925ec-09d0-436a-9421-c3c848719daa"
// data "CastSound" "Spell_Cast_Summon_Flameblade_L1to3"
// data "VocalComponentSound" "Vocal_Component_EnchantWeapon"
// data "CastTextEvent" "Cast"
// data "UseCosts" "BonusActionPoint:1"
// data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;35b644cf-5c13-4407-9dc1-23bf4309216e,,;823e3ddf-c670-41ef-b7b4-9f4a4e38300b,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
// data "VerbalIntent" "Summon"
// data "SpellStyleGroup" "Class"
// data "HitAnimationType" "MagicalNonDamage"
// data "SpellFlags" "HasVerbalComponent;IsLinkedSpellContainer;Spell"
// data "SpellAnimationIntentType" "Aggressive"
// data "PrepareEffect" "96a51ac8-2e7e-4718-bb62-dcfd18964a02"
// data "CastEffect" "ec6002b5-fda9-4a78-a024-60e4a90563aa"
// data "Sheathing" "Melee" 

new entry "Shout_TraceWeapon_Melee"
type "SpellData"
data "SpellType" "Shout"
data "SpellSchool" "Conjuration"
data "ContainerSpells" ""
data "TargetConditions" "Self()"
data "Icon" "Spell_Trace_Melee_Icon"
// Trace Weapon: Reproduction
data "DisplayName" "h493c88718c9b44c6a20ffa5177d60ec051c5;1"
data "Description" "h5a42c8e19f57468d99487d79119824d4f360;6"
data "DescriptionParams" "1;2;3;4"
data "ExtraDescription" "h2aad907fgaf0ag4241g880cg4ffea096ec0d"
data "ExtraDescriptionParams" "LevelMapValue(FakerList)"
data "TooltipPermanentWarnings" "44970abf-4d17-4abd-915a-6165234af51e"
// data "TooltipPermanentWarnings" "44970abf-4d17-4abd-915a-6165234af51e"
data "CastSound" "Spell_Cast_Summon_Flameblade_L1to3"
data "VocalComponentSound" "Vocal_Component_EnchantWeapon"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;35b644cf-5c13-4407-9dc1-23bf4309216e,,;823e3ddf-c670-41ef-b7b4-9f4a4e38300b,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Summon"
data "SpellStyleGroup" "Class"
data "HitAnimationType" "MagicalNonDamage"
data "SpellFlags" "HasVerbalComponent;IsLinkedSpellContainer;Spell"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "96a51ac8-2e7e-4718-bb62-dcfd18964a02"
data "CastEffect" "ec6002b5-fda9-4a78-a024-60e4a90563aa"
data "Sheathing" "Melee" 

